Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,application,first-party,rg-dez-backend,0.7.2,runtime,root component,LGPL-3.0-or-later,pkg:npm/rg-dez-backend@0.7.2,workspace/package.json,First-party repository component.
workspace,container,OCI container,node,23-slim (not digest pinned),build,referenced build and runtime software,MIT (Node.js); container includes additional licenses,oci:node:23-slim,workspace/Dockerfile,Base image for both build and production stages; packages inside the image are not expanded.
workspace,library,Debian package,ca-certificates,not pinned,build,referenced build and runtime software,NOASSERTION,component:debian:ca-certificates@not-pinned,workspace/Dockerfile,Explicitly installed in both image stages; transitive Debian packages are not expanded.
workspace,application,npm CLI,corepack,latest (not pinned),build,referenced build software,MIT,pkg:npm/corepack@latest,workspace/Dockerfile,Installed globally without a pinned version to activate the project package manager.
workspace,library,Debian package,g++,not pinned,build,referenced build software,GPL-3.0-or-later WITH GCC-exception-3.1,component:debian:g++@not-pinned,workspace/Dockerfile,Native-module build prerequisite installed only in the build image; transitive Debian packages are not expanded.
workspace,library,Debian package,make,not pinned,build,referenced build software,GPL-3.0-or-later,component:debian:make@not-pinned,workspace/Dockerfile,Native-module build prerequisite installed only in the build image; transitive Debian packages are not expanded.
workspace,library,Debian package,openssl,not pinned,build,referenced build and runtime software,Apache-2.0,component:debian:openssl@not-pinned,workspace/Dockerfile,Explicitly installed in both image stages; transitive Debian packages are not expanded.
workspace,application,npm CLI,pnpm,10.25.0,build,referenced build software,MIT,pkg:npm/pnpm@10.25.0,workspace/package.json and Dockerfile,"Package manager pinned by packageManager and used to install, build, and prune production dependencies."
workspace,library,Debian package,python3,not pinned,build,referenced build software,PSF-2.0,component:debian:python3@not-pinned,workspace/Dockerfile,Native-module build prerequisite installed only in the build image; transitive Debian packages are not expanded.
workspace,library,npm,@better-auth/core,1.4.7,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40better-auth/core@1.4.7,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@better-auth/telemetry,1.4.7,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40better-auth/telemetry@1.4.7,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@better-auth/utils,0.3.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40better-auth/utils@0.3.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@better-fetch/fetch,1.1.21,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40better-fetch/fetch@1.1.21,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@bull-board/api,6.15.0,runtime,direct runtime dependency,MIT,pkg:npm/%40bull-board/api@6.15.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@bull-board/api,6.20.6,runtime,transitive runtime dependency,MIT,pkg:npm/%40bull-board/api@6.20.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@bull-board/fastify,6.15.0,runtime,direct runtime dependency,MIT,pkg:npm/%40bull-board/fastify@6.15.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@bull-board/fastify,6.20.6,runtime,transitive runtime dependency,MIT,pkg:npm/%40bull-board/fastify@6.20.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@bull-board/ui,6.20.6,runtime,transitive runtime dependency,MIT,pkg:npm/%40bull-board/ui@6.20.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@bull-board/ui,6.15.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40bull-board/ui@6.15.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@chevrotain/cst-dts-gen,11.0.3,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40chevrotain/cst-dts-gen@11.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@chevrotain/gast,11.0.3,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40chevrotain/gast@11.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
